Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd);Nedbør i forhold til normalen 1991-2020 (mnd);Gjennomsnittlig snødybde (mnd)
Trondheim - Høvringen;SN68010;05.2018;24,4;-;-
Trondheim - Høvringen;SN68010;06.2018;33,9;-;-
Trondheim - Høvringen;SN68010;07.2018;17,8;-;-
Trondheim - Høvringen;SN68010;08.2018;146,2;-;-
Trondheim - Høvringen;SN68010;09.2018;189,2;-;-
Trondheim - Høvringen;SN68010;10.2018;188,6;-;-
Trondheim - Høvringen;SN68010;11.2018;36,4;-;-
Trondheim - Høvringen;SN68010;12.2018;114,4;-;-
Trondheim - Høvringen;SN68010;01.2019;133,6;-;-
Trondheim - Høvringen;SN68010;02.2019;51,4;-;-
Trondheim - Høvringen;SN68010;03.2019;162,7;-;-
Trondheim - Høvringen;SN68010;04.2019;12;-;-
Trondheim - Høvringen;SN68010;05.2019;76;-;-
Trondheim - Høvringen;SN68010;06.2019;128;-;-
Trondheim - Høvringen;SN68010;07.2019;61,3;-;-
Trondheim - Høvringen;SN68010;08.2019;59,9;-;-
Trondheim - Høvringen;SN68010;09.2019;180,4;-;-
Trondheim - Høvringen;SN68010;10.2019;101,9;-;-
Trondheim - Høvringen;SN68010;11.2019;34,4;-;-
Trondheim - Høvringen;SN68010;12.2019;127,9;-;-
Trondheim - Høvringen;SN68010;04.2020;128;-;-
Trondheim - Høvringen;SN68010;05.2020;100,4;-;-
Trondheim - Høvringen;SN68010;06.2020;39;-;-
Trondheim - Høvringen;SN68010;07.2020;94,8;-;-
Trondheim - Høvringen;SN68010;08.2020;56,6;-;-
Trondheim - Høvringen;SN68010;09.2020;123,5;-;-
Trondheim - Høvringen;SN68010;10.2020;57,9;-;-
Trondheim - Høvringen;SN68010;11.2020;108;-;-
Trondheim - Høvringen;SN68010;12.2020;26,4;-;-
Trondheim - Høvringen;SN68010;01.2021;21,9;-;-
Trondheim - Høvringen;SN68010;02.2021;19,4;-;-
Trondheim - Høvringen;SN68010;03.2021;155,3;-;-
Trondheim - Høvringen;SN68010;04.2021;73,7;-;-
Trondheim - Høvringen;SN68010;05.2021;30,1;-;-
Trondheim - Høvringen;SN68010;06.2021;48,8;-;-
Trondheim - Høvringen;SN68010;07.2021;53,5;-;-
Trondheim - Høvringen;SN68010;08.2021;112,8;-;-
Trondheim - Høvringen;SN68010;09.2021;88,7;-;-
Trondheim - Høvringen;SN68010;10.2021;205,6;-;-
Trondheim - Høvringen;SN68010;11.2021;201,2;-;-
Trondheim - Høvringen;SN68010;12.2021;73,5;-;-
Trondheim - Høvringen;SN68010;01.2022;162,2;-;-
Trondheim - Høvringen;SN68010;02.2022;100;-;-
Trondheim - Høvringen;SN68010;03.2022;75;-;-
Trondheim - Høvringen;SN68010;04.2022;52,5;-;-
Trondheim - Høvringen;SN68010;05.2022;59;-;-
Trondheim - Høvringen;SN68010;06.2022;91,1;-;-
Trondheim - Høvringen;SN68010;07.2022;104,6;-;-
Trondheim - Høvringen;SN68010;08.2022;82,8;-;-
Trondheim - Høvringen;SN68010;09.2022;114,1;-;-
Trondheim - Høvringen;SN68010;10.2022;104,8;-;-
Trondheim - Høvringen;SN68010;11.2022;25,1;-;-
Trondheim - Høvringen;SN68010;12.2022;50,8;-;-
Trondheim - Høvringen;SN68010;01.2023;92,6;-;-
Trondheim - Høvringen;SN68010;02.2023;103;-;-
Trondheim - Høvringen;SN68010;03.2023;85,6;-;-
Trondheim - Høvringen;SN68010;04.2023;25,2;-;-
Trondheim - Høvringen;SN68010;05.2023;86,8;-;-
Trondheim - Høvringen;SN68010;06.2023;32,3;-;-
Trondheim - Høvringen;SN68010;07.2023;49,7;-;-
Leinstrand;SN67150;01.2017;103,4;150,5;-
Leinstrand;SN67150;02.2017;51,4;75,3;4
Leinstrand;SN67150;03.2017;54,2;82,1;6
Leinstrand;SN67150;04.2017;98,4;203,3;0
Leinstrand;SN67150;05.2017;64,2;116,7;0
Leinstrand;SN67150;06.2017;127,3;163,6;0
Leinstrand;SN67150;07.2017;68,4;94;0
Leinstrand;SN67150;08.2017;130,4;131,5;0
Leinstrand;SN67150;09.2017;22,1;23,7;0
Leinstrand;SN67150;10.2017;134,3;158,4;0
Leinstrand;SN67150;11.2017;73,8;111;0
Leinstrand;SN67150;12.2017;86;110;2
Leinstrand;SN67150;01.2018;21,9;31,9;7
Leinstrand;SN67150;02.2018;22,7;33,2;7
Leinstrand;SN67150;03.2018;26,4;40;17
Leinstrand;SN67150;04.2018;31,4;64,9;1
Leinstrand;SN67150;05.2018;20,4;37,1;0
Leinstrand;SN67150;06.2018;44,7;57,5;0
Leinstrand;SN67150;07.2018;24,6;33,8;0
Leinstrand;SN67150;08.2018;170,2;171,6;0
Leinstrand;SN67150;09.2018;114,7;122,8;0
Leinstrand;SN67150;10.2018;131,2;154,7;0
Leinstrand;SN67150;11.2018;28,8;43,3;0
Leinstrand;SN67150;12.2018;96,9;123,9;4
Leinstrand;SN67150;01.2019;96,7;140,1;18
Leinstrand;SN67150;02.2019;47;69,1;16
Leinstrand;SN67150;03.2019;122,6;185,8;7
Leinstrand;SN67150;04.2019;8,7;18,1;1
Leinstrand;SN67150;05.2019;82,8;150,5;0
Leinstrand;SN67150;06.2019;101,2;129,7;0
Leinstrand;SN67150;07.2019;59,6;81,6;0
Leinstrand;SN67150;08.2019;90,2;91,1;0
Leinstrand;SN67150;09.2019;176,5;189;0
Leinstrand;SN67150;10.2019;69,6;82,1;0
Leinstrand;SN67150;11.2019;29,9;45;1
Leinstrand;SN67150;12.2019;79,7;101,9;6
Leinstrand;SN67150;01.2020;109,5;158,7;2
Leinstrand;SN67150;02.2020;129,4;190,3;4
Leinstrand;SN67150;03.2020;47,5;72;5
Leinstrand;SN67150;04.2020;96,8;201,7;2
Leinstrand;SN67150;05.2020;60,4;109,8;0
Leinstrand;SN67150;06.2020;26,9;34,5;0
Leinstrand;SN67150;07.2020;107,1;146,7;0
Leinstrand;SN67150;08.2020;61,4;62;0
Leinstrand;SN67150;09.2020;78,3;84,2;0
Leinstrand;SN67150;10.2020;71,3;83,9;0
Leinstrand;SN67150;11.2020;76,3;113,9;1
Leinstrand;SN67150;12.2020;33,4;42,8;1
Leinstrand;SN67150;01.2021;26,6;38,7;10
Leinstrand;SN67150;02.2021;12,1;17,7;12
Leinstrand;SN67150;03.2021;120,6;182,7;4
Leinstrand;SN67150;04.2021;69,9;144,4;1
Leinstrand;SN67150;05.2021;36,9;67,1;0
Leinstrand;SN67150;06.2021;44,1;56,7;0
Leinstrand;SN67150;07.2021;41,2;56,6;0
Leinstrand;SN67150;08.2021;143,3;144,5;0
Leinstrand;SN67150;09.2021;112,8;120,8;0
Leinstrand;SN67150;10.2021;160,8;189,2;0
Leinstrand;SN67150;11.2021;120;180,5;1
Leinstrand;SN67150;12.2021;72,4;92,6;11
Leinstrand;SN67150;01.2022;115,4;167,2;10
Leinstrand;SN67150;02.2022;61;89,7;10
Leinstrand;SN67150;03.2022;31,7;48;1
Leinstrand;SN67150;04.2022;44,5;92,7;1
Leinstrand;SN67150;05.2022;60,2;109,5;0
Leinstrand;SN67150;06.2022;114,5;146,8;0
Leinstrand;SN67150;07.2022;96,8;132,6;0
Leinstrand;SN67150;08.2022;94,8;95,8;0
Leinstrand;SN67150;09.2022;141,5;152,2;0
Leinstrand;SN67150;10.2022;71,6;84,2;0
Leinstrand;SN67150;11.2022;18;26,9;0
Leinstrand;SN67150;12.2022;58,3;74,7;26
Leinstrand;SN67150;01.2023;56,1;81,3;8
Leinstrand;SN67150;02.2023;56,6;83,2;4
Leinstrand;SN67150;03.2023;87,3;132,3;27
Leinstrand;SN67150;04.2023;48;100;7
Leinstrand;SN67150;05.2023;48,5;88,2;0
Leinstrand;SN67150;06.2023;46,5;59,6;0
Leinstrand;SN67150;07.2023;47,2;64,7;0
Data er gyldig per 31.07.2023 (CC BY 4.0), Meteorologisk institutt (MET);;;;;
