ID;dybde;x;y;Notes;Name;time;ele
1;1.55;555785.6698;7031626.027;;;;
2;1.94;555713.5338;7031611.954;;;;
3;1.35;555663.2329;7031626.235;;;;
4;1.06;555622.0835;7031619.836;;;;
5;2.79;555610.5126;7031598.683;;;;
6;1.53;555586.2638;7031614.31;;;;
7;2.76;555544.5319;7031578.146;;;;
8;1.68;555517.1884;7031599.403;;;;
9;2.52;555448.9569;7031570.358;;;;
10;1.73;555437.652;7031545.31;;;;
11;1.62;555423.3722;7031536.259;;;;
12;2.72;555462.2324;7031513.417;;;;
13;2.46;555358.7919;7031567.46;;;;
14;1.56;555322.4891;7031598.482;;;;
15;2.43;555320.9969;7031595.224;;;;
16;2.61;555310.9071;7031603.854;;;;
17;0.9;555178.9086;7031616.843;;;;
18;0.76;555132.0598;7031619.378;;;;
19;0.8;555108.4934;7031633.237;;;;
20;1.05;555097.9011;7031639.184;;;;
21;0.44;555049.7255;7031643.37;;;;
22;0.69;555027.804;7031613.906;;;;
23;0.7;554978.3099;7031537.83;;;;
24;1;554970.4453;7031550.734;;;;
25;1.9;554927.0075;7031482.564;;;;
26;1.92;554907.2582;7031480.665;;;;
27;2.61;554882.3124;7031446.804;;;;
28;1.77;554839.5898;7031418.322;;;;
29;1.06;554770.6063;7031444.333;;;;
30;1.54;554752.9168;7031435.895;minerotroft sig med flaskestarr og takrør, smalt belte fra torvtaksskogen;;;
31;2.58;554721.5073;7031400.141;;;;
32;2.75;554703.9411;7031369.862;;;;
33;1.58;554752.0047;7031378.263;;;;
34;1.16;554844.8899;7031385.983;;;;
35;1.27;554895.41;7031399.665;;;;
36;1.44;554923.2771;7031403.041;;;;
37;1.92;554968.1024;7031367.257;;;;
38;2.39;554952.1504;7031315.83;;;;
39;1.27;554994.1569;7031307.525;innslag av duskull og elvesnelle;;;
40;1;555043.8916;7031308.826;takrørbelte i V;;;
41;1.29;555055.6496;7031344.066;;;;
42;2.53;555133.4689;7031343.355;;;;
43;1.85;555137.7594;7031277.009;;;;
44;2.63;555130.4767;7031227.068;en og en annen elvesnelle i våteste partier, ellers ombrotroft;;;
45;3.15;555116.3167;7031164.526;;;;
46;3.9;555107.5329;7031105.978;;;;
47;3.52;555097.4802;7031097.893;;;;
48;3.22;555074.7827;7031122.02;;;;
49;3.11;555049.0073;7031075.327;;;;
50;2.96;555016.0281;7031005.887;;;;
51;2.86;555044.4146;7030993.782;;;;
52;3.87;555089.8604;7031052.961;;;;
53;2.1;555179.0429;7031203.498;;;;
54;2.77;555224.266;7031266.576;;;;
55;3.07;555260.3472;7031355.574;;;;
56;2.39;556077.3046;7031323.203;takrørflekk i NØ;;;
57;3.3;556028.1304;7031295.595;;;;
58;3.6;555963.5548;7031325.892;;;;
59;3.87;555913.8738;7031367.261;;;;
60;3.79;555855.9445;7031363.241;;;;
61;4.37;555877.4665;7031315.138;;;;
62;4.24;555894.3509;7031280.885;;;;
63;4.57;555892.7892;7031230.15;;;;
64;4.44;555854.4358;7031223.574;;;;
65;4.56;555828.9563;7031197.831;;;;
66;4.27;555831.41;7031194.642;;;;
67;4.05;555923.7187;7031201.269;;;;
68;3.92;555951.1172;7031128.64;;;;
69;3.83;556003.7216;7031111.729;;;;
70;3.35;556057.3926;7031150.895;;;;
71;3.19;556166.1077;7031162.162;;;;
72;1.68;556218.8008;7031140.241;;;;
73;1.39;556161.0955;7031225.709;;;;
74;3.16;556103.0333;7031234.832;;;;
75;4;555552.4191;7031302.234;;;;
76;3.84;555540.7993;7031306.825;;;;
77;4.19;555543.3603;7031285.918;;;;
78;3.9;555530.9201;7031291.72;;;;
79;4.12;555528.1842;7031279.525;;;;
80;4.03;555530.8782;7031271.102;;;;
81;2.95;555172.1448;7031076.222;;;;
82;4.02;555144.6458;7031077.419;;;;
83;3.62;555140.2831;7031063.859;;;;
84;3.41;555155.4262;7031046.178;;;;
85;3.84;555132.5679;7031036.088;;;;
86;3.69;555141.0108;7031039.02;;;;
87;3.78;555108.8442;7031073.348;;;;
88;2.25;555006.7337;7030962.376;;;;
89;3.25;555005.0085;7030961.009;;;;
90;3.35;554998.9312;7030910.532;;;;
91;2.46;554976.3176;7030874.481;;;;
92;0.6;554956.0167;7030814.287;minerotrof flate, søkk i landskapet, trådstarr;;;
93;0;554971.4834;7030806.863;terrengformasjon, berg;;;
94;3.12;555014.1528;7030783.636;;;;
95;3.92;555059.5695;7030841.81;;;;
96;3.82;555118.1619;7030923.95;;;;
97;3.63;555194.3406;7030875.559;;;;
98;3.42;555150.9264;7030794.125;;;;
99;3.42;555077.9009;7030728.899;;;;
100;2.78;555002.0475;7030653.595;;;;
101;2.21;554967.0754;7030603.848;;;;
102;2.23;555037.6798;7030557.363;;;;
103;1.65;555133.4047;7030648.166;;;;
104;0;555157.1555;7030679.111;piggtråd-gjerde;;;
105;1;555249.6339;7030679.703;lagg;;;
106;2.39;555380.8249;7030683.865;;;;
107;2.6;555442.8791;7030629.328;;;;
108;2;555517.6106;7030512.381;;;;
109;0.99;555541.1139;7030479.69;i bratteste partiet;;;
110;1.57;555557.628;7030391.935;;;;
111;1.4;555620.0469;7030391.682;;;;
112;1.55;555664.1326;7030425.547;;;;
113;0.8;555695.0334;7030493.397;;;;
114;1.82;555786.566;7030548.596;trådstarr;;;
115;2.45;555833.5336;7030591.764;trådstarr;;;
116;2;555851.3859;7030631.081;2.00 m ++, i kanten;;;
117;3.55;555911.6224;7030686.852;;;;
118;3.65;555959.6663;7030696.83;;;;
119;3.33;555920.2123;7030821.516;;;;
120;2.85;555892.7953;7030900.831;;;;
121;3.11;555890.906;7030974.686;takrørbelte;;;
122;3.42;555890.6387;7030975.684;takrørbelte;;;
123;4.7;555856.4675;7031190.176;AL20170214;;;
124;4;555578.0148;7031148.774;AL20170214;;;
125;1.9;555391.7973;7031126.711;AL20170214;;;
126;3;555370.1276;7031114.412;AL20170214;;;
127;3.8;555120.1935;7031075.772;AL20170214;;;
128;2.2;555553.0575;7030920.102;AL20170214;;;
129;4.5;555776.0686;7031027.625;AL20170214;;;
130;5.38;555135.1018;7031036.912;;54;23.05.2022;47.2
131;3.17;555140.394;7031025.524;;55;23.05.2022;97.3
132;3.72;555152.5271;7031011.469;;56;23.05.2022;44.4
133;3.79;555164.6448;7030995.407;;57;23.05.2022;45.7
134;2.83;555204.245;7031008.126;;58;23.05.2022;45.3
135;3.37;555192.3519;7031025.64;;59;23.05.2022;45.7
136;2.72;555194.2671;7031027.568;;60;23.05.2022;45.7
137;1.62;555196.1344;7031026.485;;61;23.05.2022;97
138;3.9;555162.8793;7030976.096;;62;25.05.2022;79.1
139;2.46;555187.0346;7030948.652;;63;25.05.2022;80.2
140;2.38;555197.6082;7030935.238;;64;25.05.2022;78.9
141;1.87;555202.1919;7030930.191;;65;25.05.2022;77.2
142;2.94;555211.1538;7030926.222;;66;25.05.2022;78.6
143;3.56;555239.3557;7030901.745;;67;25.05.2022;79.7
144;3.34;555261.81;7030880.29;;68;25.05.2022;79.8
145;3.6;555287.6442;7030848.305;;69;25.05.2022;78.6
146;3.59;555315.0177;7030816.905;;70;25.05.2022;79.9
147;1.72;555341.0016;7030767.65;;71;25.05.2022;80.3
148;0.55;555355.6917;7030753.194;;72;25.05.2022;78.6
149;0.61;555394.2603;7030770.801;;73;25.05.2022;76.8
150;2.13;555405.2392;7030809.105;;74;25.05.2022;76.9
151;2.94;555388.3767;7030848.041;;75;25.05.2022;75.9
152;2.83;555422.4643;7030887.748;;76;25.05.2022;75.2
153;2.38;555455.7733;7030923.319;;77;25.05.2022;75.9
154;2.32;555491.5808;7030958.822;;78;25.05.2022;75.3
155;1.8;555529.1357;7030994.355;;79;25.05.2022;71.9
156;3.66;555551.4349;7031030.85;;80;25.05.2022;72.2
157;4.23;555583.4341;7031055.366;;81;25.05.2022;70.4
158;4.2;555596.7868;7031086.245;;82;25.05.2022;70.6
159;4.25;555634.1104;7031109.072;;83;25.05.2022;65.5
160;5.55;555669.3193;7031138.548;;84;25.05.2022;70
161;5.59;555713.6087;7031162.945;;85;25.05.2022;69.5
162;3.79;555780.6492;7031186.179;;86;25.05.2022;66.4
163;4.82;555822.5052;7031172.421;;87;25.05.2022;67.2
164;4.53;555865.6495;7031199.363;;88;25.05.2022;66.6
165;4.62;555847.1385;7031249.525;;89;25.05.2022;67
166;5.61;555798.1143;7031264.718;;90;25.05.2022;65.6
167;6.13;555728.0062;7031251.348;;91;25.05.2022;65.7
168;7.05;555647.7677;7031231.564;;92;25.05.2022;64.2
169;5.28;555571.209;7031255.865;;93;25.05.2022;63
170;5.83;555524.0231;7031196.872;;94;25.05.2022;61.4
